iter	Passed	Remaining
479	608	658
480	608	656
481	609	654
482	610	653
483	610	651
484	612	649
485	613	648
486	614	647
487	615	645
488	615	643
489	616	641
490	618	640
491	619	639
492	620	638
493	621	636
494	621	634
495	622	632
496	623	631
497	624	629
498	625	628
499	626	626
500	627	624
501	627	622
502	628	620
503	629	619
504	630	618
505	631	616
506	632	615
507	633	613
508	634	611
509	634	609
510	635	608
511	637	607
512	638	605
513	638	604
514	639	602
515	640	600
516	640	598
517	642	597
518	644	596
519	644	595
520	645	593
521	646	591
522	646	590
523	648	589
524	650	588
525	650	586
526	651	584
527	652	582
528	652	581
529	654	579
530	655	578
531	655	576
532	656	575
533	657	573
534	657	571
535	658	570
536	659	568
537	660	567
538	661	566
539	662	564
540	663	562
541	663	560
542	664	559
543	665	557
544	666	556
545	667	555
546	668	553
547	669	552
548	670	550
549	670	548
550	671	547
551	672	546
552	673	544
553	674	543
554	675	541
555	675	539
556	676	538
557	677	536
558	678	535
559	679	534
560	680	532
561	681	530
562	681	529
563	682	527
564	683	526
565	684	524
566	685	523
567	686	521
568	686	520
569	687	518
570	688	517
571	688	515
572	689	513
573	690	512
574	691	511
575	692	509
576	692	508
577	693	506
578	694	504
579	694	503
580	695	501
581	696	500
582	698	499
583	699	497
584	699	496
585	700	494
586	700	493
587	701	491
588	702	490
589	704	489
590	705	487
591	705	486
592	706	484
593	707	483
594	707	481
595	709	480
596	710	479
597	711	478
598	711	476
599	712	474
600	713	473
601	713	471
602	714	470
603	715	469
604	716	467
605	717	466
606	717	464
607	718	463
608	719	461
609	719	460
610	720	458
611	721	457
612	722	456
613	723	454
614	724	453
615	724	451
616	725	450
617	726	448
618	726	447
619	727	446
620	728	444
621	729	443
622	730	441
623	730	440
624	731	438
625	732	437
626	732	436
627	734	434
628	735	433
629	736	432
630	736	430
631	737	429
632	738	428
633	739	426
634	740	425
635	741	424
636	742	422
637	742	421
638	743	419
639	744	418
640	744	417
641	745	415
642	746	414
643	748	413
644	748	412
645	749	410
646	750	409
647	750	407
648	751	406
649	752	405
650	753	404
651	754	402
652	755	401
653	755	399
654	756	398
655	757	396
656	757	395
657	758	394
658	760	393
659	760	392
660	761	390
661	762	389
662	763	388
663	764	387
664	766	385
665	766	384
666	767	383
667	768	381
668	768	380
669	769	379
670	770	377
671	771	376
672	772	375
673	773	373
674	773	372
675	774	371
676	775	369
677	775	368
678	776	367
679	777	366
680	778	364
681	779	363
682	780	362
683	780	360
684	781	359
685	782	357
686	783	356
687	784	355
688	784	354
689	785	352
690	786	351
691	786	350
692	787	348
693	788	347
694	789	346
695	790	345
696	791	343
697	791	342
698	792	341
699	793	339
700	793	338
701	794	337
702	795	336
703	797	335
704	797	333
705	798	332
706	799	331
707	799	329
708	800	328
709	801	327
710	803	326
711	803	325
712	804	323
713	805	322
714	805	321
715	806	319
716	807	318
717	808	317
718	809	316
719	810	315
720	810	313
721	811	312
722	812	311
723	812	309
724	814	308
725	815	307
726	816	306
727	817	305
728	817	303
729	818	302
730	819	301
731	820	300
732	821	299
733	822	298
734	823	296
735	823	295
736	824	294
737	825	292
738	826	291
739	827	290
740	828	289
741	829	288
742	830	287
743	831	285
744	832	284
745	833	283
746	834	282
747	835	281
748	835	280
749	836	278
750	837	277
751	838	276
752	839	275
753	840	274
754	841	272
755	841	271
756	842	270
757	843	269
758	844	268
759	845	266
760	846	265
761	847	264
762	847	263
763	848	262
764	849	260
765	850	259
766	851	258
767	852	257
768	853	256
769	854	255
770	854	253
771	855	252
772	856	251
773	858	250
774	859	249
775	860	248
776	861	247
777	863	246
778	865	245
779	866	244
780	867	243
781	868	241
782	869	240
783	871	240
784	872	238
785	873	237
786	873	236
787	874	235
788	876	234
789	877	233
790	878	231
791	878	230
792	879	229
793	880	228
794	881	227
795	882	226
796	883	225
797	884	223
798	885	222
799	886	221
800	887	220
801	889	219
802	890	218
803	890	217
804	891	215
805	892	214
806	892	213
807	894	212
808	895	211
809	896	210
810	897	209
811	898	208
812	899	206
813	902	206
814	903	204
815	903	203
816	904	202
817	905	201
818	907	200
819	908	199
820	909	198
821	910	197
822	910	195
823	911	194
824	913	193
825	914	192
826	915	191
827	916	190
828	917	189
829	918	188
830	919	186
831	920	185
832	921	184
833	922	183
834	923	182
835	924	181
836	927	180
837	928	179
838	928	178
839	929	177
840	930	175
841	932	175
842	933	173
843	934	172
844	934	171
845	935	170
846	936	169
847	938	168
848	939	167
849	940	165
850	941	164
851	942	163
852	943	162
853	944	161
854	945	160
855	946	159
856	947	158
857	948	156
858	950	156
859	951	154
860	952	153
861	954	152
862	956	151
863	958	150
864	959	149
865	961	148
866	964	147
867	966	146
868	968	146
869	970	145
870	972	144
871	974	143
872	975	141
873	976	140
874	977	139
875	978	138
876	981	137
877	982	136
878	983	135
879	984	134
880	987	133
881	988	132
882	989	131
883	989	129
884	991	128
885	992	127
886	993	126
887	994	125
888	995	124
889	997	123
890	999	122
891	1000	121
892	1001	120
893	1003	118
894	1005	117
895	1006	116
896	1007	115
897	1009	114
898	1011	113
899	1012	112
900	1014	111
901	1016	110
902	1017	109
903	1018	108
904	1019	106
905	1020	105
906	1022	104
907	1023	103
908	1024	102
909	1025	101
910	1026	100
911	1027	99
912	1029	98
913	1030	96
914	1031	95
915	1032	94
916	1034	93
917	1035	92
918	1036	91
919	1037	90
920	1038	89
921	1040	88
922	1041	86
923	1042	85
924	1043	84
925	1044	83
926	1046	82
927	1047	81
928	1048	80
929	1049	78
930	1050	77
931	1052	76
932	1053	75
933	1054	74
934	1055	73
935	1056	72
936	1058	71
937	1060	70
938	1061	68
939	1062	67
940	1064	66
941	1065	65
942	1066	64
943	1067	63
944	1068	62
945	1070	61
946	1071	59
947	1072	58
948	1073	57
949	1074	56
950	1076	55
951	1077	54
952	1078	53
953	1078	52
954	1079	50
955	1081	49
956	1082	48
957	1083	47
958	1084	46
959	1084	45
960	1085	44
961	1088	42
962	1089	41
963	1090	40
964	1091	39
965	1092	38
966	1094	37
967	1095	36
968	1096	35
969	1097	33
970	1099	32
971	1101	31
972	1102	30
973	1102	29
974	1103	28
975	1104	27
976	1106	26
977	1107	24
978	1108	23
979	1108	22
980	1109	21
981	1111	20
982	1112	19
983	1113	18
984	1114	16
985	1115	15
986	1117	14
987	1119	13
988	1120	12
989	1121	11
990	1122	10
991	1123	9
992	1124	7
993	1125	6
994	1126	5
995	1127	4
996	1127	3
997	1129	2
998	1130	1
999	1131	0
